,年次,調査区域,項目,variable,value
7601,1994年,全国,特別収入,第7階級,-
7602,1994年,全国,受贈金,第7階級,-
7603,1994年,全国,他の特別収入,第7階級,-
7604,1994年,全国,（再掲）移転収入,第7階級,-
7605,1994年,全国,実収入以外の収入,第7階級,-
7606,1994年,全国,預貯金引出,第7階級,-
7607,1994年,全国,保険取金,第7階級,-
7608,1994年,全国,有価証券売却,第7階級,-
7609,1994年,全国,株式売却,第7階級,-
7610,1994年,全国,他の有価証券売却,第7階級,-
7611,1994年,全国,土地家屋借入金,第7階級,-
7612,1994年,全国,他の借入金,第7階級,-
7613,1994年,全国,分割払・一括払購入借入金,第7階級,-
7614,1994年,全国,財産売却,第7階級,-
7615,1994年,全国,他の実収入以外の収入,第7階級,-
7616,1994年,全国,繰入金,第7階級,-
7617,1994年,全国,可処分所得,第7階級,-
7618,1994年,全国,支出総額,第7階級,-
7619,1994年,全国,実支出,第7階級,-
7620,1994年,全国,消費支出,第7階級,"371,863"
7621,1994年,全国,食料,第7階級,"91,225"
7622,1994年,全国,穀類,第7階級,"10,787"
7623,1994年,全国,米類,第7階級,"6,251"
7624,1994年,全国,パン,第7階級,"2,522"
7625,1994年,全国,めん類,第7階級,"1,678"
7626,1994年,全国,他の穀類,第7階級,336
7627,1994年,全国,魚介類,第7階級,"11,215"
7628,1994年,全国,生鮮魚介,第7階級,"7,441"
7629,1994年,全国,塩干魚介,第7階級,"2,162"
7630,1994年,全国,魚肉練製品,第7階級,997
7631,1994年,全国,他の魚介加工品,第7階級,614
7632,1994年,全国,肉類,第7階級,"8,930"
7633,1994年,全国,生鮮肉,第7階級,"7,429"
7634,1994年,全国,加工肉,第7階級,"1,501"
7635,1994年,全国,乳卵類,第7階級,"4,542"
7636,1994年,全国,牛乳,第7階級,"2,547"
7637,1994年,全国,乳製品,第7階級,"1,033"
7638,1994年,全国,卵,第7階級,962
7639,1994年,全国,野菜・海草,第7階級,"12,388"
7640,1994年,全国,生鮮野菜,第7階級,"8,573"
7641,1994年,全国,乾物・海草,第7階級,864
7642,1994年,全国,大豆加工品,第7階級,"1,495"
7643,1994年,全国,他の野菜・海草加工品,第7階級,"1,455"
7644,1994年,全国,果物,第7階級,"4,558"
7645,1994年,全国,生鮮果物,第7階級,"4,437"
7646,1994年,全国,果物加工品,第7階級,121
7647,1994年,全国,油脂・調味料,第7階級,"3,511"
7648,1994年,全国,油脂,第7階級,324
7649,1994年,全国,調味料,第7階級,"3,187"
7650,1994年,全国,菓子類,第7階級,"5,686"
7651,1994年,全国,調理食品,第7階級,"7,346"
7652,1994年,全国,主食的調理食品,第7階級,"2,814"
7653,1994年,全国,他の調理食品,第7階級,"4,532"
7654,1994年,全国,飲料,第7階級,"3,396"
7655,1994年,全国,茶類,第7階級,674
7656,1994年,全国,コーヒー・ココア,第7階級,597
7657,1994年,全国,他の飲料,第7階級,"2,124"
7658,1994年,全国,酒類,第7階級,"4,406"
7659,1994年,全国,外食,第7階級,"14,461"
7660,1994年,全国,一般外食,第7階級,"12,377"
7661,1994年,全国,学校給食,第7階級,"2,083"
7662,1994年,全国,住居,第7階級,"18,110"
7663,1994年,全国,家賃・地代,第7階級,"10,604"
7664,1994年,全国,設備修繕・維持,第7階級,"7,506"
7665,1994年,全国,設備材料,第7階級,"1,144"
7666,1994年,全国,工事その他のサービス,第7階級,"6,362"
7667,1994年,全国,光熱・水道,第7階級,"19,987"
7668,1994年,全国,電気代,第7階級,"10,010"
7669,1994年,全国,ガス代,第7階級,"4,497"
7670,1994年,全国,他の光熱,第7階級,823
7671,1994年,全国,上下水道料,第7階級,"4,657"
7672,1994年,全国,家具・家事用品,第7階級,"13,733"
7673,1994年,全国,家庭用耐久財,第7階級,"4,700"
7674,1994年,全国,家事用耐久財,第7階級,"2,186"
7675,1994年,全国,冷暖房用器具,第7階級,"1,151"
7676,1994年,全国,一般家具,第7階級,"1,362"
7677,1994年,全国,室内装備・装飾品,第7階級,"1,455"
7678,1994年,全国,寝具類,第7階級,"1,128"
7679,1994年,全国,家事雑貨,第7階級,"2,956"
7680,1994年,全国,家事用消耗品,第7階級,"2,268"
7681,1994年,全国,家事サービス,第7階級,"1,228"
7682,1994年,全国,被服及び履物,第7階級,"21,399"
7683,1994年,全国,和服,第7階級,859
7684,1994年,全国,洋服,第7階級,"8,892"
7685,1994年,全国,男子用洋服,第7階級,"2,929"
7686,1994年,全国,婦人用洋服,第7階級,"4,796"
7687,1994年,全国,子供用洋服,第7階級,"1,167"
7688,1994年,全国,シャツ・セーター類,第7階級,"3,718"
7689,1994年,全国,男子用シャツ・セーター類,第7階級,"1,314"
7690,1994年,全国,婦人用シャツ・セーター類,第7階級,"2,113"
7691,1994年,全国,子供用シャツ・セーター類,第7階級,291
7692,1994年,全国,下着類,第7階級,"1,905"
7693,1994年,全国,男子用下着類,第7階級,683
7694,1994年,全国,婦人用下着類,第7階級,970
7695,1994年,全国,子供用下着類,第7階級,252
7696,1994年,全国,生地・糸類,第7階級,490
7697,1994年,全国,他の被服,第7階級,"1,561"
7698,1994年,全国,履物類,第7階級,"2,121"
7699,1994年,全国,被服関連サービス,第7階級,"1,853"
7700,1994年,全国,保健医療,第7階級,"9,666"
7701,1994年,全国,医薬品,第7階級,"1,772"
7702,1994年,全国,健康保持用摂取品,第7階級,504
7703,1994年,全国,保健医療用品・器具,第7階級,"2,181"
7704,1994年,全国,保健医療サービス,第7階級,"5,209"
7705,1994年,全国,交通通信,第7階級,"38,978"
7706,1994年,全国,交通,第7階級,"8,374"
7707,1994年,全国,自動車等関係費,第7階級,"22,911"
7708,1994年,全国,自動車等購入,第7階級,"7,166"
7709,1994年,全国,自転車購入,第7階級,240
7710,1994年,全国,自動車等維持,第7階級,"15,505"
7711,1994年,全国,通信,第7階級,"7,693"
7712,1994年,全国,教育,第7階級,"24,002"
7713,1994年,全国,授業料等,第7階級,"18,459"
7714,1994年,全国,教科書・学習参考教材,第7階級,515
7715,1994年,全国,補習教育,第7階級,"5,028"
7716,1994年,全国,教養娯楽,第7階級,"34,361"
7717,1994年,全国,教養娯楽用耐久財,第7階級,"2,812"
7718,1994年,全国,教養娯楽用品,第7階級,"6,948"
7719,1994年,全国,書籍・他の印刷物,第7階級,"5,142"
7720,1994年,全国,教養娯楽サービス,第7階級,"19,459"
7721,1994年,全国,宿泊料,第7階級,"1,165"
7722,1994年,全国,パック旅行費,第7階級,"5,911"
7723,1994年,全国,月謝類,第7階級,"5,970"
7724,1994年,全国,他の教養娯楽サービス,第7階級,"6,414"
7725,1994年,全国,その他の消費支出,第7階級,"100,400"
7726,1994年,全国,諸雑費,第7階級,"21,152"
7727,1994年,全国,理美容サービス,第7階級,"3,459"
7728,1994年,全国,理美容用品,第7階級,"3,925"
7729,1994年,全国,身の回り用品,第7階級,"2,230"
7730,1994年,全国,たばこ,第7階級,"1,196"
7731,1994年,全国,他の諸雑費,第7階級,"10,342"
7732,1994年,全国,こづかい（使途不明）,第7階級,"36,634"
7733,1994年,全国,交際費,第7階級,"29,496"
7734,1994年,全国,食料,第7階級,"5,498"
7735,1994年,全国,家具・家事用品,第7階級,696
7736,1994年,全国,被服及び履物,第7階級,"1,009"
7737,1994年,全国,教養娯楽,第7階級,873
7738,1994年,全国,他の物品サービス,第7階級,457
7739,1994年,全国,贈与金,第7階級,"15,407"
7740,1994年,全国,他の交際費,第7階級,"5,556"
7741,1994年,全国,仕送り金,第7階級,"13,118"
7742,1994年,全国,（再掲）移転支出,第7階級,"28,525"
7743,1994年,全国,（再掲）教育関係費,第7階級,"40,104"
7744,1994年,全国,（再掲）教養娯楽関係費,第7階級,"39,061"
7745,1994年,全国,耐久財,第7階級,"2,779"
7746,1994年,全国,読書,第7階級,"5,176"
7747,1994年,全国,聴視・観覧,第7階級,"1,683"
7748,1994年,全国,旅行,第7階級,"10,883"
7749,1994年,全国,スポーツ,第7階級,"3,276"
7750,1994年,全国,月謝,第7階級,"5,303"
7751,1994年,全国,会費・つきあい費,第7階級,"2,511"
7752,1994年,全国,他の教養娯楽,第7階級,"7,450"
7753,1994年,全国,（耐久財を除く教養娯楽関係費）,第7階級,"36,282"
7754,1994年,全国,（再掲）経常消費支出,第7階級,"299,471"
7755,1994年,全国,非消費支出,第7階級,-
7756,1994年,全国,直接税,第7階級,-
7757,1994年,全国,勤労所得税,第7階級,-
7758,1994年,全国,個人住民税,第7階級,-
7759,1994年,全国,他の税,第7階級,-
7760,1994年,全国,社会保険料,第7階級,-
7761,1994年,全国,公的年金保険料,第7階級,-
7762,1994年,全国,健康保険料,第7階級,-
7763,1994年,全国,その他の社会保険料,第7階級,-
7764,1994年,全国,他の非消費支出,第7階級,-
7765,1994年,全国,実支出以外の支出,第7階級,-
7766,1994年,全国,預貯金,第7階級,-
7767,1994年,全国,保険掛金,第7階級,-
7768,1994年,全国,有価証券購入,第7階級,-
7769,1994年,全国,株式購入,第7階級,-
7770,1994年,全国,他の有価証券購入,第7階級,-
7771,1994年,全国,土地家屋借金返済,第7階級,-
7772,1994年,全国,他の借金返済,第7階級,-
7773,1994年,全国,分割払・一括払購入借入金返済,第7階級,-
7774,1994年,全国,財産購入,第7階級,-
7775,1994年,全国,他の実支出以外の支出,第7階級,-
7776,1994年,全国,繰越金,第7階級,-
7777,1994年,全国,（特掲）財・サービス区分　消費支出,第7階級,"301,147"
7778,1994年,全国,商品,第7階級,"178,731"
7779,1994年,全国,耐久財,第7階級,"18,419"
7780,1994年,全国,半耐久財,第7階級,"34,397"
7781,1994年,全国,非耐久財,第7階級,"125,915"
7782,1994年,全国,サービス,第7階級,"122,416"
7783,1994年,全国,食料,第7階級,"96,722"
7784,1994年,全国,非耐久財,第7階級,"80,961"
7785,1994年,全国,サービス,第7階級,"15,762"
7786,1994年,全国,住居,第7階級,"18,110"
7787,1994年,全国,耐久財,第7階級,681
7788,1994年,全国,半耐久財,第7階級,464
7789,1994年,全国,サービス,第7階級,"16,966"
7790,1994年,全国,光熱・水道（非耐久財）,第7階級,"19,988"
7791,1994年,全国,家具・家事用品,第7階級,"14,429"
7792,1994年,全国,耐久財,第7階級,"5,804"
7793,1994年,全国,半耐久財,第7階級,"5,100"
7794,1994年,全国,非耐久財,第7階級,"2,297"
7795,1994年,全国,サービス,第7階級,"1,228"
7796,1994年,全国,被服及び履物,第7階級,"22,408"
7797,1994年,全国,半耐久財,第7階級,"20,546"
7798,1994年,全国,サービス,第7階級,"1,862"
7799,1994年,全国,保健医療,第7階級,"9,729"
7800,1994年,全国,耐久財,第7階級,950
7801,1994年,全国,半耐久財,第7階級,434
7802,1994年,全国,非耐久財,第7階級,"3,133"
7803,1994年,全国,サービス,第7階級,"5,212"
7804,1994年,全国,交通通信,第7階級,"39,076"
7805,1994年,全国,耐久財,第7階級,"7,605"
7806,1994年,全国,半耐久財,第7階級,825
7807,1994年,全国,非耐久財,第7階級,"6,275"
7808,1994年,全国,サービス,第7階級,"24,371"
7809,1994年,全国,教育,第7階級,"24,003"
7810,1994年,全国,非耐久財,第7階級,515
7811,1994年,全国,サービス,第7階級,"23,487"
7812,1994年,全国,教養娯楽,第7階級,"35,234"
7813,1994年,全国,耐久財,第7階級,"2,512"
7814,1994年,全国,半耐久財,第7階級,"4,690"
7815,1994年,全国,非耐久財,第7階級,"7,898"
7816,1994年,全国,サービス,第7階級,"20,134"
7817,1994年,全国,諸雑費,第7階級,"21,448"
7818,1994年,全国,耐久財,第7階級,867
7819,1994年,全国,半耐久財,第7階級,"2,339"
7820,1994年,全国,非耐久財,第7階級,"4,848"
7821,1994年,全国,サービス,第7階級,"13,394"
7822,1994年,全国,現物支出（もらい物）,第7階級,"12,530"
7823,1994年,全国,うち食料,第7階級,"9,402"
7824,1994年,全国,持家の帰属家賃,第7階級,"70,236"
7825,1994年,全国,平均消費性向（％）,第7階級,-
7826,1994年,全国,金融資産純増率（％）,第7階級,-
7827,1994年,全国,平均貯蓄率（％）,第7階級,-
7828,1994年,全国,エンゲル係数（％）,第7階級,24.5
7829,1994年,全国,貯蓄現在高（千円）,第7階級,"13,165"
7830,1994年,全国,通貨性預貯金（千円）,第7階級,788
7831,1994年,全国,定期性預貯金（千円）,第7階級,"6,058"
7832,1994年,全国,生命保険など（千円）,第7階級,"3,748"
7833,1994年,全国,有価証券（千円）,第7階級,"1,932"
7834,1994年,全国,負債現在高（千円）,第7階級,"5,220"
7835,1994年,全国,うち住宅・土地のための負債（千円）,第7階級,"4,650"
7836,1994年,全国,負債保有率（％）,第7階級,60
7837,1994年,全国,うち住宅・土地のための負債（％）,第7階級,42.9
7838,1994年,全国,集計世帯数,第8階級,"5,482"
7839,1994年,全国,世帯数分布（抽出率調整）,第8階級,"77,960"
7840,1994年,全国,世帯数分布（一万分比）,第8階級,"1,000"
7841,1994年,全国,世帯人員（人）,第8階級,3.94
7842,1994年,全国,１８歳未満人員（人）,第8階級,1.02
7843,1994年,全国,６５歳以上人員（人）,第8階級,0.38
7844,1994年,全国,うち無職人員（人）,第8階級,0.28
7845,1994年,全国,有業人員（人）,第8階級,1.94
7846,1994年,全国,世帯主の年齢（歳）,第8階級,49.1
7847,1994年,全国,世帯主の性別　男（人）,第8階級,0.968
7848,1994年,全国,世帯主の性別　女（人）,第8階級,0.032
7849,1994年,全国,持家率（％）,第8階級,84
7850,1994年,全国,うち住宅ローン保有率（％）,第8階級,45.3
7851,1994年,全国,家賃を支払っている世帯の割合（％）,第8階級,18
7852,1994年,全国,住宅の延べ床面積（平方メ−トル）,第8階級,127.5
7853,1994年,全国,自動車保有台数（千世帯当たり）,第8階級,"1,532"
7854,1994年,全国,自動車保有率（％）,第8階級,88.2
7855,1994年,全国,年間収入（千円）,第8階級,"9,696"
7856,1994年,全国,収入総額,第8階級,-
7857,1994年,全国,実収入,第8階級,-
7858,1994年,全国,経常収入,第8階級,-
7859,1994年,全国,勤め先収入,第8階級,-
7860,1994年,全国,世帯主の勤め先収入,第8階級,-
7861,1994年,全国,世帯主が男の収入,第8階級,-
7862,1994年,全国,定期収入,第8階級,-
7863,1994年,全国,臨時収入,第8階級,-
7864,1994年,全国,世帯主が女の収入,第8階級,-
7865,1994年,全国,定期収入,第8階級,-
7866,1994年,全国,臨時収入,第8階級,-
7867,1994年,全国,世帯主の配偶者の勤め先収入,第8階級,-
7868,1994年,全国,配偶者が男の収入,第8階級,-
7869,1994年,全国,配偶者が女の収入,第8階級,-
7870,1994年,全国,他の世帯員の勤め先収入,第8階級,-
7871,1994年,全国,男の他の世帯員の勤め先収入,第8階級,-
7872,1994年,全国,女の他の世帯員の勤め先収入,第8階級,-
7873,1994年,全国,事業・内職収入,第8階級,-
7874,1994年,全国,農林漁業収入,第8階級,-
7875,1994年,全国,家賃収入,第8階級,-
7876,1994年,全国,他の事業収入,第8階級,-
7877,1994年,全国,内職収入,第8階級,-
7878,1994年,全国,本業以外の勤め先・事業・内職収入,第8階級,-
7879,1994年,全国,他の経常収入,第8階級,-
7880,1994年,全国,財産収入,第8階級,-
7881,1994年,全国,社会保障給付,第8階級,-
7882,1994年,全国,公的年金給付,第8階級,-
7883,1994年,全国,他の社会保障給付,第8階級,-
7884,1994年,全国,仕送り金,第8階級,-
7885,1994年,全国,特別収入,第8階級,-
7886,1994年,全国,受贈金,第8階級,-
7887,1994年,全国,他の特別収入,第8階級,-
7888,1994年,全国,（再掲）移転収入,第8階級,-
7889,1994年,全国,実収入以外の収入,第8階級,-
7890,1994年,全国,預貯金引出,第8階級,-
7891,1994年,全国,保険取金,第8階級,-
7892,1994年,全国,有価証券売却,第8階級,-
7893,1994年,全国,株式売却,第8階級,-
7894,1994年,全国,他の有価証券売却,第8階級,-
7895,1994年,全国,土地家屋借入金,第8階級,-
7896,1994年,全国,他の借入金,第8階級,-
7897,1994年,全国,分割払・一括払購入借入金,第8階級,-
7898,1994年,全国,財産売却,第8階級,-
7899,1994年,全国,他の実収入以外の収入,第8階級,-
7900,1994年,全国,繰入金,第8階級,-
7901,1994年,全国,可処分所得,第8階級,-
7902,1994年,全国,支出総額,第8階級,-
7903,1994年,全国,実支出,第8階級,-
7904,1994年,全国,消費支出,第8階級,"409,294"
7905,1994年,全国,食料,第8階級,"96,865"
7906,1994年,全国,穀類,第8階級,"11,196"
7907,1994年,全国,米類,第8階級,"6,535"
7908,1994年,全国,パン,第8階級,"2,595"
7909,1994年,全国,めん類,第8階級,"1,712"
7910,1994年,全国,他の穀類,第8階級,354
7911,1994年,全国,魚介類,第8階級,"12,045"
7912,1994年,全国,生鮮魚介,第8階級,"7,986"
7913,1994年,全国,塩干魚介,第8階級,"2,349"
7914,1994年,全国,魚肉練製品,第8階級,"1,054"
7915,1994年,全国,他の魚介加工品,第8階級,655
7916,1994年,全国,肉類,第8階級,"9,596"
7917,1994年,全国,生鮮肉,第8階級,"8,035"
7918,1994年,全国,加工肉,第8階級,"1,560"
7919,1994年,全国,乳卵類,第8階級,"4,774"
7920,1994年,全国,牛乳,第8階級,"2,663"
7921,1994年,全国,乳製品,第8階級,"1,084"
7922,1994年,全国,卵,第8階級,"1,026"
7923,1994年,全国,野菜・海草,第8階級,"13,272"
7924,1994年,全国,生鮮野菜,第8階級,"9,225"
7925,1994年,全国,乾物・海草,第8階級,922
7926,1994年,全国,大豆加工品,第8階級,"1,578"
7927,1994年,全国,他の野菜・海草加工品,第8階級,"1,547"
7928,1994年,全国,果物,第8階級,"5,037"
7929,1994年,全国,生鮮果物,第8階級,"4,907"
7930,1994年,全国,果物加工品,第8階級,130
7931,1994年,全国,油脂・調味料,第8階級,"3,724"
7932,1994年,全国,油脂,第8階級,341
7933,1994年,全国,調味料,第8階級,"3,383"
7934,1994年,全国,菓子類,第8階級,"5,949"
7935,1994年,全国,調理食品,第8階級,"7,745"
7936,1994年,全国,主食的調理食品,第8階級,"2,964"
7937,1994年,全国,他の調理食品,第8階級,"4,781"
7938,1994年,全国,飲料,第8階級,"3,466"
7939,1994年,全国,茶類,第8階級,736
7940,1994年,全国,コーヒー・ココア,第8階級,618
7941,1994年,全国,他の飲料,第8階級,"2,112"
7942,1994年,全国,酒類,第8階級,"4,574"
7943,1994年,全国,外食,第8階級,"15,486"
7944,1994年,全国,一般外食,第8階級,"13,553"
7945,1994年,全国,学校給食,第8階級,"1,933"
7946,1994年,全国,住居,第8階級,"17,099"
7947,1994年,全国,家賃・地代,第8階級,"8,201"
7948,1994年,全国,設備修繕・維持,第8階級,"8,898"
7949,1994年,全国,設備材料,第8階級,"1,438"
7950,1994年,全国,工事その他のサービス,第8階級,"7,460"
7951,1994年,全国,光熱・水道,第8階級,"20,792"
7952,1994年,全国,電気代,第8階級,"10,483"
7953,1994年,全国,ガス代,第8階級,"4,604"
7954,1994年,全国,他の光熱,第8階級,862
7955,1994年,全国,上下水道料,第8階級,"4,844"
7956,1994年,全国,家具・家事用品,第8階級,"14,579"
7957,1994年,全国,家庭用耐久財,第8階級,"4,803"
7958,1994年,全国,家事用耐久財,第8階級,"2,287"
7959,1994年,全国,冷暖房用器具,第8階級,"1,188"
7960,1994年,全国,一般家具,第8階級,"1,328"
7961,1994年,全国,室内装備・装飾品,第8階級,"1,693"
7962,1994年,全国,寝具類,第8階級,"1,272"
7963,1994年,全国,家事雑貨,第8階級,"3,102"
7964,1994年,全国,家事用消耗品,第8階級,"2,381"
7965,1994年,全国,家事サービス,第8階級,"1,328"
7966,1994年,全国,被服及び履物,第8階級,"24,886"
7967,1994年,全国,和服,第8階級,"1,757"
7968,1994年,全国,洋服,第8階級,"9,988"
7969,1994年,全国,男子用洋服,第8階級,"3,558"
7970,1994年,全国,婦人用洋服,第8階級,"5,408"
7971,1994年,全国,子供用洋服,第8階級,"1,023"
7972,1994年,全国,シャツ・セーター類,第8階級,"4,313"
7973,1994年,全国,男子用シャツ・セーター類,第8階級,"1,572"
7974,1994年,全国,婦人用シャツ・セーター類,第8階級,"2,488"
7975,1994年,全国,子供用シャツ・セーター類,第8階級,253
7976,1994年,全国,下着類,第8階級,"2,171"
7977,1994年,全国,男子用下着類,第8階級,809
7978,1994年,全国,婦人用下着類,第8階級,"1,126"
7979,1994年,全国,子供用下着類,第8階級,236
7980,1994年,全国,生地・糸類,第8階級,472
7981,1994年,全国,他の被服,第8階級,"1,677"
7982,1994年,全国,履物類,第8階級,"2,394"
7983,1994年,全国,被服関連サービス,第8階級,"2,114"
7984,1994年,全国,保健医療,第8階級,"10,666"
7985,1994年,全国,医薬品,第8階級,"2,010"
7986,1994年,全国,健康保持用摂取品,第8階級,449
7987,1994年,全国,保健医療用品・器具,第8階級,"2,324"
7988,1994年,全国,保健医療サービス,第8階級,"5,884"
7989,1994年,全国,交通通信,第8階級,"42,639"
7990,1994年,全国,交通,第8階級,"9,441"
7991,1994年,全国,自動車等関係費,第8階級,"25,008"
7992,1994年,全国,自動車等購入,第8階級,"7,358"
7993,1994年,全国,自転車購入,第8階級,253
7994,1994年,全国,自動車等維持,第8階級,"17,397"
7995,1994年,全国,通信,第8階級,"8,190"
7996,1994年,全国,教育,第8階級,"27,724"
7997,1994年,全国,授業料等,第8階級,"21,354"
7998,1994年,全国,教科書・学習参考教材,第8階級,601
7999,1994年,全国,補習教育,第8階級,"5,770"
8000,1994年,全国,教養娯楽,第8階級,"37,148"
8001,1994年,全国,教養娯楽用耐久財,第8階級,"2,971"
8002,1994年,全国,教養娯楽用品,第8階級,"7,561"
8003,1994年,全国,書籍・他の印刷物,第8階級,"5,439"
8004,1994年,全国,教養娯楽サービス,第8階級,"21,176"
8005,1994年,全国,宿泊料,第8階級,"1,429"
8006,1994年,全国,パック旅行費,第8階級,"6,519"
8007,1994年,全国,月謝類,第8階級,"6,027"
8008,1994年,全国,他の教養娯楽サービス,第8階級,"7,201"
8009,1994年,全国,その他の消費支出,第8階級,"116,896"
8010,1994年,全国,諸雑費,第8階級,"23,009"
8011,1994年,全国,理美容サービス,第8階級,"3,594"
8012,1994年,全国,理美容用品,第8階級,"4,423"
8013,1994年,全国,身の回り用品,第8階級,"2,702"
8014,1994年,全国,たばこ,第8階級,"1,134"
8015,1994年,全国,他の諸雑費,第8階級,"11,156"
8016,1994年,全国,こづかい（使途不明）,第8階級,"43,134"
8017,1994年,全国,交際費,第8階級,"32,431"
8018,1994年,全国,食料,第8階級,"5,804"
8019,1994年,全国,家具・家事用品,第8階級,794
8020,1994年,全国,被服及び履物,第8階級,"1,119"
8021,1994年,全国,教養娯楽,第8階級,766
8022,1994年,全国,他の物品サービス,第8階級,562
8023,1994年,全国,贈与金,第8階級,"16,992"
8024,1994年,全国,他の交際費,第8階級,"6,393"
8025,1994年,全国,仕送り金,第8階級,"18,322"
8026,1994年,全国,（再掲）移転支出,第8階級,"35,314"
8027,1994年,全国,（再掲）教育関係費,第8階級,"48,909"
8028,1994年,全国,（再掲）教養娯楽関係費,第8階級,"42,625"
8029,1994年,全国,耐久財,第8階級,"3,091"
8030,1994年,全国,読書,第8階級,"5,480"
8031,1994年,全国,聴視・観覧,第8階級,"1,897"
8032,1994年,全国,旅行,第8階級,"12,041"
8033,1994年,全国,スポーツ,第8階級,"4,062"
8034,1994年,全国,月謝,第8階級,"5,351"
8035,1994年,全国,会費・つきあい費,第8階級,"3,001"
8036,1994年,全国,他の教養娯楽,第8階級,"7,702"
8037,1994年,全国,（耐久財を除く教養娯楽関係費）,第8階級,"39,534"
8038,1994年,全国,（再掲）経常消費支出,第8階級,"323,472"
8039,1994年,全国,非消費支出,第8階級,-
8040,1994年,全国,直接税,第8階級,-
8041,1994年,全国,勤労所得税,第8階級,-
8042,1994年,全国,個人住民税,第8階級,-
8043,1994年,全国,他の税,第8階級,-
8044,1994年,全国,社会保険料,第8階級,-
8045,1994年,全国,公的年金保険料,第8階級,-
8046,1994年,全国,健康保険料,第8階級,-
8047,1994年,全国,その他の社会保険料,第8階級,-
8048,1994年,全国,他の非消費支出,第8階級,-
8049,1994年,全国,実支出以外の支出,第8階級,-
8050,1994年,全国,預貯金,第8階級,-
8051,1994年,全国,保険掛金,第8階級,-
8052,1994年,全国,有価証券購入,第8階級,-
8053,1994年,全国,株式購入,第8階級,-
8054,1994年,全国,他の有価証券購入,第8階級,-
8055,1994年,全国,土地家屋借金返済,第8階級,-
8056,1994年,全国,他の借金返済,第8階級,-
8057,1994年,全国,分割払・一括払購入借入金返済,第8階級,-
8058,1994年,全国,財産購入,第8階級,-
8059,1994年,全国,他の実支出以外の支出,第8階級,-
8060,1994年,全国,繰越金,第8階級,-
8061,1994年,全国,（特掲）財・サービス区分　消費支出,第8階級,"324,453"
8062,1994年,全国,商品,第8階級,"192,153"
8063,1994年,全国,耐久財,第8階級,"19,384"
8064,1994年,全国,半耐久財,第8階級,"39,150"
8065,1994年,全国,非耐久財,第8階級,"133,620"
8066,1994年,全国,サービス,第8階級,"132,300"
8067,1994年,全国,食料,第8階級,"102,669"
8068,1994年,全国,非耐久財,第8階級,"85,848"
8069,1994年,全国,サービス,第8階級,"16,821"
8070,1994年,全国,住居,第8階級,"17,101"
8071,1994年,全国,耐久財,第8階級,972
8072,1994年,全国,半耐久財,第8階級,466
8073,1994年,全国,サービス,第8階級,"15,662"
8074,1994年,全国,光熱・水道（非耐久財）,第8階級,"20,794"
8075,1994年,全国,家具・家事用品,第8階級,"15,373"
8076,1994年,全国,耐久財,第8階級,"6,166"
8077,1994年,全国,半耐久財,第8階級,"5,473"
8078,1994年,全国,非耐久財,第8階級,"2,406"
8079,1994年,全国,サービス,第8階級,"1,328"
8080,1994年,全国,被服及び履物,第8階級,"26,006"
8081,1994年,全国,半耐久財,第8階級,"23,886"
8082,1994年,全国,サービス,第8階級,"2,119"
8083,1994年,全国,保健医療,第8階級,"10,742"
8084,1994年,全国,耐久財,第8階級,"1,069"
8085,1994年,全国,半耐久財,第8階級,431
8086,1994年,全国,非耐久財,第8階級,"3,349"
8087,1994年,全国,サービス,第8階級,"5,894"
8088,1994年,全国,交通通信,第8階級,"42,744"
8089,1994年,全国,耐久財,第8階級,"7,793"
8090,1994年,全国,半耐久財,第8階級,801
8091,1994年,全国,非耐久財,第8階級,"7,002"
8092,1994年,全国,サービス,第8階級,"27,148"
8093,1994年,全国,教育,第8階級,"27,725"
8094,1994年,全国,非耐久財,第8階級,601
8095,1994年,全国,サービス,第8階級,"27,124"
8096,1994年,全国,教養娯楽,第8階級,"37,914"
8097,1994年,全国,耐久財,第8階級,"2,700"
8098,1994年,全国,半耐久財,第8階級,"5,180"
8099,1994年,全国,非耐久財,第8階級,"8,364"
8100,1994年,全国,サービス,第8階級,"21,669"
8101,1994年,全国,諸雑費,第8階級,"23,386"
8102,1994年,全国,耐久財,第8階級,683
8103,1994年,全国,半耐久財,第8階級,"2,912"
8104,1994年,全国,非耐久財,第8階級,"5,257"
8105,1994年,全国,サービス,第8階級,"14,535"
8106,1994年,全国,現物支出（もらい物）,第8階級,"13,126"
8107,1994年,全国,うち食料,第8階級,"9,580"
8108,1994年,全国,持家の帰属家賃,第8階級,"76,251"
8109,1994年,全国,平均消費性向（％）,第8階級,-
8110,1994年,全国,金融資産純増率（％）,第8階級,-
8111,1994年,全国,平均貯蓄率（％）,第8階級,-
8112,1994年,全国,エンゲル係数（％）,第8階級,23.7
8113,1994年,全国,貯蓄現在高（千円）,第8階級,"14,621"
8114,1994年,全国,通貨性預貯金（千円）,第8階級,863
8115,1994年,全国,定期性預貯金（千円）,第8階級,"6,695"
8116,1994年,全国,生命保険など（千円）,第8階級,"4,075"
8117,1994年,全国,有価証券（千円）,第8階級,"2,208"
8118,1994年,全国,負債現在高（千円）,第8階級,"6,143"
8119,1994年,全国,うち住宅・土地のための負債（千円）,第8階級,"5,471"
8120,1994年,全国,負債保有率（％）,第8階級,63.9
8121,1994年,全国,うち住宅・土地のための負債（％）,第8階級,47.8
